Serial Number,Topic Name,Question,Option A,Option B,Option C,Option D,Correct Answer,Difficulty Level
1,"Time, Speed, Distance",Calculate the time taken to travel 50 km at a speed of 26 km/hr.,-0.27,1.92,4.3,7.4,Option B: 1.92,Easy
2,Percentage,Find 6% of 101.,6.06,5.02,13.25,7.29,Option A: 6.06,Easy
3,Time and Work,Calculate the time for A and B to complete a work together if A takes 7 days and B takes 4 days individually.,4.55,2.55,0.92,8.33,Option B: 2.55,Medium
4,Numbers,Calculate the total of 33 plus 37.,70,67,80,73,Option A: 70,Medium
5,Profit and Loss,"If the cost price is 64 and the profit percentage is 15%, calculate the selling price.",77.56,73.6,70.94,80.05,Option B: 73.6,Hard
6,Percentage,Calculate 25% of 129.,37.05,29.77,32.25,38.27,Option C: 32.25,Hard
7,Algebra,"Given a = 8, b = 6, and x = 7, compute ax + b.",64,62,70,58,Option B: 62,Medium
8,Ratio and Proportion,Calculate the value of B if A:B = 5:1 and A = 11.,3.93,2.2,0.14,7.89,Option B: 2.2,Hard
9,"Time, Speed, Distance",Calculate the time taken to travel 87 km at a speed of 30 km/hr.,5.23,-0.1,8.74,2.9,Option D: 2.9,Easy
10,Ratio and Proportion,Find B given that the ratio of A to B is 3:1 and A equals 23.,5.82,7.67,9.69,13.02,Option B: 7.67,Easy
11,Average,"Find the arithmetic mean of 59, 17, and 20.",32.0,40.04,33.66,27.29,Option A: 32.0,Medium
12,Algebra,"Find the result of a * x + b given a = 3, b = 3, x = 10.",42,28,35,33,Option D: 33,Easy
13,"Time, Speed, Distance",A vehicle covers 81 km at 18 km/hr. How much time does it take?,5.52,3.27,9.06,4.5,Option D: 4.5,Medium
14,Ratio and Proportion,Find B given that the ratio of A to B is 3:2 and A equals 10.,6.67,9.63,5.61,11.34,Option A: 6.67,Easy
15,Ratio and Proportion,"If the ratio of A to B is 5:5 and A is 34, what is B?",39.37,32.93,35.25,34.0,Option D: 34.0,Easy
16,Time and Work,Calculate the time for A and B to complete a work together if A takes 7 days and B takes 7 days individually.,6.37,3.5,7.61,1.16,Option B: 3.5,Hard
17,Pipes and Cisterns,A pipe fills a tank in 1 hours and another empties it in 3 hours. Calculate the time to fill the tank of 58 liters with both pipes open.,-26.62,-29.0,-23.86,-30.71,Option B: -29.0,Easy
18,Algebra,"If a = 1, b = 3, and x = 1, what is ax + b?",4,5,14,1,Option A: 4,Medium
19,Percentage,Calculate 29% of 135.,34.81,42.16,45.51,39.15,Option D: 39.15,Easy
20,Percentage,Find 41% of 116.,49.83,56.89,44.63,47.56,Option D: 47.56,Medium
21,Percentage,Calculate 49% of 125.,59.87,66.0,69.42,61.25,Option D: 61.25,Hard
22,Profit and Loss,What would be the selling price if the cost price is 54 and profit is 19%?,71.64,61.6,64.26,66.83,Option C: 64.26,Hard
23,Algebra,"If a = 1, b = 10, and x = 1, what is ax + b?",20,11,7,12,Option B: 11,Easy
24,Percentage,10% of 50 is what?,13.89,8.08,2.79,5.0,Option D: 5.0,Medium
25,Time and Work,"A takes 8 days to finish a work and B takes 4 days. Working together, how many days will they take?",0.02,4.04,2.67,7.07,Option C: 2.67,Hard
26,"Time, Speed, Distance",200 km distance is covered at 21 km/hr. Determine the time taken.,8.15,9.52,10.59,14.32,Option B: 9.52,Medium
27,Algebra,"If a = 4, b = 5, and x = 1, what is ax + b?",12,5,18,9,Option D: 9,Medium
28,Time and Work,Calculate the time for A and B to complete a work together if A takes 6 days and B takes 1 days individually.,-1.99,6.51,0.86,2.55,Option C: 0.86,Hard
29,Pipes and Cisterns,Determine the filling time for a tank of 59 liters given a fill rate of 8 hours and an empty rate of 5 hours.,17.41,21.49,23.8,19.67,Option D: 19.67,Medium
30,Time and Work,How many days will it take for A and B to finish a work together if A takes 2 days and B takes 9 days?,3.97,6.9,0.39,1.64,Option D: 1.64,Easy
31,Profit and Loss,"Given a cost price of 52 and a profit percentage of 12%, determine the selling price.",58.24,53.46,59.61,64.67,Option A: 58.24,Easy
32,Pipes and Cisterns,"If a tank is filled by a pipe in 5 hours and emptied by another in 2 hours, how long will it take to fill the tank of 39 liters when both pipes are open?",14.16,13.0,18.89,11.55,Option B: 13.0,Easy
33,Percentage,Determine the value of 46% of 131.,64.85,60.26,58.72,67.46,Option B: 60.26,Easy
34,Numbers,Find the result when you add 43 and 38.,81,84,88,76,Option A: 81,Easy
