Serial Number,Topic,Question,Answer
1,Numbers,Determine whether the sum of 48 and 11 is a composite number.,Yes
2,Time Speed Distance,How far will a car travel if it goes at 51 km/h for 1 hours?,51
3,Percentage,What percentage of 4202 is 384?,9.138505473584008
4,Ratio and Proportion,"Given the ratio 40:30 and a = 58, what is b?",43.5
5,Algebra,Find the value of x in the linear equation 4x + 10 = 8.,-2.5
6,Pipes and Cisterns,"Calculate the total time taken to fill a tank if Pipe A fills it in 33 hours, Pipe B in 26 hours, and Pipe C empties it in 21 hours.",14.54
7,Average,"Calculate the weighted average if the weights are [3, 5, 9, 3, 3] and the corresponding numbers are [77, 53, 10, 86, 16].",38.78
8,Profit and Loss,A product is sold at a profit percentage of 29 after buying it at 622. What is the selling price?,Profit of 98
9,Algebra,Determine the value of x if 4x + 1 = -6.,-1.75
10,Percentage,Calculate 66% of 942.,6217200
11,Average,"Calculate the average for the numbers: [14, 10, 96, 79, 40]",47.8
12,Pipes and Cisterns,"Pipe A can fill 0.52 of a tank in 30 hours, and Pipe B fills the rest in 27 hours. Find the total time to fill the tank.",28.48
13,Pipes and Cisterns,"Pipe A can fill a tank in 23 hours, and Pipe B in 34 hours, but Pipe C can empty it in 28 hours. Find the time taken to fill the tank if all three pipes are used.",26.9
14,Time Speed Distance,Determine the distance covered by a train traveling at 43 km/h for 5 hours.,215
15,Average,"What is the average of the given numbers: [25, 50, 99, 55, 1]?",46.0
16,Percentage,Find the percentage value of 323 when it is increased by 18%.,381.14
17,Average,"Determine the mean of the following set of numbers [23, 85, 23, 70, 72] after increasing each by 2.",56.6
18,Time and Work,"If 5 can do 0.8 of a job in 46 days, how long will it take them to complete the whole job?",57.5
19,Ratio and Proportion,Find the new ratio if a and b are multiplied by 3 and 5 respectively.,240:470
20,Time Speed Distance,A car is moving at a speed of 62 km/h for 3 hours. How far does it travel?,186
21,Pipes and Cisterns,"If Pipe A fills a tank in 36 hours and Pipe B can empty it in 14 hours, how long will it take to fill the tank if both are used together?",-22.91
22,Numbers,Find the smallest integer greater than 5.,Yes
23,Numbers,Is 73 a prime number?,Yes
24,Time Speed Distance,A car is moving at a speed of 50 km/h for 2 hours. How far does it travel?,100
25,Time and Work,How long will it take for 1 to complete the same work done by 3 in 20 days?,60.0
26,Average,"What is the average of the square of these numbers: [1, 5, 2, 7, 5]?",20.8
27,Time and Work,"If 8 persons complete a work in 24 days, how long will it take for 1 person?",192
28,Profit and Loss,What is the profit/loss percentage if the cost price is 586 and the selling price is 169?,Loss of 417
29,Ratio and Proportion,What is the new value of a if the ratio of a to b is 96:19 and b is increased to 92?,19.395833333333332
30,Percentage,Calculate 71% of 667.,4735700
31,Algebra,Calculate x in the equation 2x + -8 = -7.,0.5
32,Ratio and Proportion,Find the value of c if the ratio 78:42 = 16.714285714285715:85 and b = 9.,16.714285714285715
33,Average,"If the average of 100, 50, and 41 is 63.666666666666664, and one number is replaced by 41, find the new average.",44.0
34,Average,"If the average of 31, 77, and ? is 59, find the missing number if one is unknown.",69
35,Pipes and Cisterns,"Determine the time taken if Pipe A fills a tank in 26 hours, and Pipe B in 19 hours, but Pipe C empties it in 20 hours, and all three are used for 7 hours.",0.64
36,Numbers,"If 3 and 47 are integers, is their sum a natural number?",Yes
37,Percentage,Find the percentage value of 499 when it is increased by 97%.,983.03
38,Time and Work,"If 5 can complete a job in 25 days, what fraction of the job can 125 complete in one day?",5.0
39,Profit and Loss,What is the cost price if a product is sold for 396 at a profit of 47?,Profit of -506
40,Time and Work,How long will it take for 1 to complete the same work done by 3 in 41 days?,123.0
41,Profit and Loss,"If a product's marked price is 1252 and it is sold at a discount of 10%, find the profit or loss.",Loss of 262
42,Time Speed Distance,"If a car travels for 10 hours at 35 km/h and then for 6 hours at 73 km/h, what is the total distance?",570
43,Profit and Loss,What is the loss if the cost price is 264 and the selling price is 467?,Loss of 203
44,Numbers,Determine if 68 is a prime or composite number.,No
45,Time and Work,Calculate the total time if 6 work for 12 days and then 18 complete the rest of the work.,16.0
46,Percentage,A price increased by 77% and then decreased by 72%. Find the final price.,493.83000000000004
47,Numbers,Is 25 a prime number if it is greater than 90?,No
48,Time and Work,How many days will it take for 1 person to do a job if 8 people can do it in 12 days?,96
49,Algebra,Calculate x in the equation 9x + 0 = 9.,1.0
50,Numbers,"If 96 is divisible by 4, is it a composite number?",Yes
